OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,Us_SR_MWh,ElcPrd_MWh
8,4028850001,4065495.000000000000000,1931.000000000000000,178119.000000000000000,2100.000000000000000,Photogramm,{5361CCA3-D6E7-4E59-ADDD-A258D8495208},54.000000000000000,30.370000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4028850001, ,11201.301825700000336,0.000000000000000,4065495,10200.000000000000000,1101.307151049999902,1043.611789470000076,143.600982230999989
10,4021440020,4051293.000000000000000,1956.000000000000000,750377.000000000000000,2100.000000000000000,Photogramm,{BD72EDD4-DEE2-4533-8298-F27889F36EB7},27.000000000000000,65.159999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,4021440020, ,9318.415363779999097,0.000000000000000,4051293,4500.000000000000000,1170.519620770000074,489.352213738999978,67.334864610500006
16,4014580046,4035836.000000000000000,1940.000000000000000,771632.000000000000000,2100.000000000000000,Photogramm,{8AD4A0A9-1261-480D-90EC-44159BEAAD9E},59.000000000000000,64.239999999999995,8/22/2017 0:00:00,00:00:00.000,Constructed,4014580046, ,18906.391219100001763,0.000000000000000,4035836,9200.000000000000000,1166.909240720000071,997.367591173000051,137.237780544999993
19,4140660023,4294197.000000000000000,1991.000000000000000,721214.000000000000000,2100.000000000000000,Photogramm,{813581AF-7A75-424D-BF8D-5F19D10C76E2},6.000000000000000,16.567799999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,4140660023, ,20080.193889400001353,0.000000000000000,4294197,20300.000000000000000,1179.749803359999987,2224.929719539999951,306.150329408999994
23,4067920030,4455414.000000000000000,1952.000000000000000,569579.000000000000000,2100.000000000000000,Photogramm,{21480F5D-6272-4B81-B6EC-D73C0A3469F5},82.000000000000000,82.129999999999995,8/22/2017 0:00:00,00:00:00.000,Constructed,4067920030, ,9403.990176729999803,0.000000000000000,4455414,2300.000000000000000,1041.328098460000092,222.508071094999991,30.617110582700001
27,4073090015,4156796.000000000000000,1956.000000000000000,386023.000000000000000,2100.000000000000000,Photogramm,{92D37D02-83F8-45C2-B573-40695C0A821F},58.000000000000000,21.440000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4073090015, ,21032.605530699998781,0.000000000000000,4156796,18700.000000000000000,1181.292491239999890,2052.245894719999797,282.389035112999977
36,4007530001,4014149.000000000000000,1935.000000000000000,729287.000000000000000,2100.000000000000000,Photogramm,{D1797E8B-160F-4175-80E3-98F4EB7E10F4},46.000000000000000,13.220000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4007530001, ,9192.888951740000266,0.000000000000000,4014149,9200.000000000000000,1161.515987889999906,992.757930545000022,136.603491243000008
37,4012460001,4028633.000000000000000,1939.000000000000000,275212.000000000000000,2100.000000000000000,Photogramm,{EB08D57C-FF9D-4168-A7F3-F31D9ABF806E},29.000000000000000,12.279999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,4012460001, ,9398.166069700000662,0.000000000000000,4028633,8600.000000000000000,1189.783806379999987,950.597899912000003,130.802271028000007
47,4050240041,4113693.000000000000000,1983.000000000000000,582426.000000000000000,2100.000000000000000,Other (Man,{CB74FA5A-2428-4666-AE5C-8C7ECFBEB7C8},73.000000000000000,100.000000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,4050247501, ,12229.956763300000603,0.000000000000000,4113693,4900.000000000000000,1124.995652800000016,512.126524654000036,70.468609792400002
48,4157670007,4301047.000000000000000,1931.000000000000000,288379.000000000000000,2100.000000000000000,Photogramm,{74C1547A-C578-48AC-97A5-97F2AE41C6FB},25.000000000000000,64.445877179999997,8/22/2017 0:00:00,00:00:00.000,Constructed,4157670007, ,11339.190036300000429,0.000000000000000,4301047,6200.000000000000000,1140.939182399999936,657.180290682999953,90.428007997999998
51,4023110024,4053525.000000000000000,1931.000000000000000,435720.000000000000000,2100.000000000000000,Photogramm,{0C6C463A-26A3-42F4-8854-19427C3B77AB},101.000000000000000,30.390000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4023110024, ,12124.291406399999687,0.000000000000000,4053525,6500.000000000000000,1224.718831689999888,739.571382675999985,101.765022255999995
53,4014420001,4431421.000000000000000,1959.000000000000000,521708.000000000000000,2100.000000000000000,Photogramm,{A13D1453-CF26-484C-98EC-A9C3C1FEFE27},81.000000000000000,66.099999999999994,8/22/2017 0:00:00,00:00:00.000,Constructed,4014420001, ,12399.548619799999869,0.000000000000000,4431421,5100.000000000000000,1173.020096120000062,555.783915700999955,76.475866800500000
54,4029280001,4067005.000000000000000,1963.000000000000000,222248.000000000000000,2100.000000000000000,Photogramm,{FD1D24BC-A979-426D-A898-9387E5C78E7F},100.000000000000000,50.270000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,4029280001, ,23132.138097399998514,0.000000000000000,4067005,17400.000000000000000,1143.713185629999998,1848.828903090000040,254.398857064999987
55,4022380019,4052599.000000000000000,1939.000000000000000,186080.000000000000000,2100.000000000000000,Photogramm,{F98862E7-9778-4F40-8AC2-606BD923A08C},73.000000000000000,63.549999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,4022380019, ,21027.575491100000363,0.000000000000000,4052599,10500.000000000000000,1137.686263020000069,1109.793454200000042,152.707579298000013
57,4072480004,4155925.000000000000000,1942.000000000000000,583370.000000000000000,2100.000000000000000,Photogramm,{CDAA7269-481E-48EB-AA01-A0F0A96C0722},61.000000000000000,25.563467320000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4072480004, ,9000.453431410000121,0.000000000000000,4155925,7600.000000000000000,1130.855302510000001,798.455977766000046,109.867542541000006
58,4125160057,4270075.000000000000000,1962.000000000000000,393846.000000000000000,2100.000000000000000,Photogramm,{7029F40C-7FD7-4858-91F5-2CE11D0FCCD9},23.000000000000000,22.629999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,4125160057, ,45638.363177400002314,0.000000000000000,4270075,42800.000000000000000,1183.464431050000030,4705.755130479999934,647.511905953999985
59,4106040030,4226194.000000000000000,1929.000000000000000,744179.000000000000000,2100.000000000000000,Photogramm,{0DD69300-597F-487F-9809-27016FA14D43},75.000000000000000,14.640000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4106040030, ,10679.402477499999804,0.000000000000000,4226194,10000.000000000000000,1164.436227420000023,1081.797701039999993,148.855363662999991
62,4033210069,4079267.000000000000000,1931.000000000000000,18808.000000000000000,2100.000000000000000,Photogramm,{CC311DC6-22C2-4C45-A9DF-7C91CB00A019},121.000000000000000,63.803893129999999,8/22/2017 0:00:00,00:00:00.000,Constructed,4033210069, ,9850.035945910000009,0.000000000000000,4079267,5100.000000000000000,1164.209677300000067,551.609486732000050,75.901465374300003
63,4006590047,4010591.000000000000000,1951.000000000000000,763576.000000000000000,2100.000000000000000,Photogramm,{CD9FEBBE-343A-4C79-A8E9-64E62E23D5A1},65.000000000000000,34.780000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,4006590047, ,9940.195045959999334,0.000000000000000,4010591,7600.000000000000000,1173.075766310000063,828.266318338000019,113.969445402999995
