OID_	base_bbl	bin	cnstrct_yr	doitt_id	feat_code	geomsource	globalid	groundelev	heightroof	date_lstmo	time_lstmo	lststatype	mpluto_bbl	name	shape_area	shape_len	bin_c	AREA	MEAN	USR_MWh	ElcPrd_MWh
7362	1008820052	1018148	1960	362787	2100	Photogramm	{945329D5-1A38-436E-BC5C-24BB2919D685}	34	67.1	8/22/2017 0:00	00:00.0	Constructed	1008820052	 	8508.536269	0	1018148	5200	1063.580201	513.811634	70.70048084
7369	1013340001	1038650	1964	530897	2100	Photogramm	{FEA4B5B8-AFC1-4CED-8F31-7A5100F92A3E}	50	223.76	8/22/2017 0:00	00:00.0	Constructed	1013340001	 	13042.07755	0	1038650	2100	959.5151687	187.198121	25.75846144
7371	1018680013	1056068	1983	106650	2100	Other (Man	{E40A6E73-FC64-475C-AC84-C63AD4F8EEF8}	73	288	8/22/2017 0:00	00:00.0	Constructed	1018687501	 	25208.95207	0	1056068	10700	1026.659629	1020.564854	140.4297239
7381	1010110041	1076843	1950	468903	2100	Other (Man	{9EAA2CAE-5B16-42AA-A415-D0D4EF542047}	64	203	8/22/2017 0:00	00:00.0	Constructed	1010117503	 	12971.72098	0	1076843	300	847.6760661	23.62552791	3.25087264
7388	1009120002	1077352	1990	661409	2100	Other (Man	{A57C834D-988B-40B0-A1B1-EE4727CFFDCA}	28	369	8/22/2017 0:00	00:00.0	Constructed	1009127502	 	8686.409109	0	1077352	1900	916.1637316	161.7175085	22.25232917
7389	1011150001	1027461	1981	974285	2100	Other (Man	{B9890082-31C1-4679-AE02-F60083185625}	78	271	8/22/2017 0:00	00:00.0	Constructed	1011157502	 	16620.04905	0	1027461	3200	1002.710459	298.095808	41.01798318
7390	1021650026	1063947	1905	141695	2100	Photogramm	{F4AC654B-8E15-48E8-B534-202CB11C75AB}	184	77.49	8/22/2017 0:00	00:00.0	Constructed	1021650026	 	18298.66802	0	1063947	13100	1141.382639	1389.098057	191.1398926
7391	1007510001	1082796	1960	148432	2100	Photogramm	{A44FC43C-3541-48A0-B776-01D5AFE3B2F4}	30	194.43	8/22/2017 0:00	00:00.0	Constructed	1007510001	 	9504.332749	0	1082796	4800	1090.475061	486.2810219	66.91226862
7395	1012790057	1035377	1922	637734	2100	Photogramm	{04ACE474-3E33-4D53-A0BF-DF3ADBB36A89}	58	294.1126452	8/22/2017 0:00	00:00.0	Constructed	1012790057	 	18690.5936	0	1035377	2500	958.3017285	222.5730749	30.62605511
7399	1019870007	1059729	1926	626122	2100	Photogramm	{7CF65474-3D64-41E3-A1A5-D1B5D1B4C049}	79	22.03	8/22/2017 0:00	00:00.0	Constructed	1019870007	 	20006.52341	0	1059729	19000	1106.717257	1953.532444	268.8060643
7409	1013950072	1041950	1915	265691	2100	Other (Man	{66848117-DF67-4C77-A5A2-543F4DFC4443}	47	202	8/22/2017 0:00	00:00.0	Constructed	1013957503	 	9343.381963	0	1041950	2300	978.3665214	209.0546177	28.76591539
