address,name,bbl
101 NOSTRAND AVENUE,MARCY,3017380001
103 NOSTRAND AVENUE,MARCY,3017380001
105 NOSTRAND AVENUE,MARCY,3017380001
111 NOSTRAND AVENUE,MARCY,3017380001
113 NOSTRAND AVENUE,MARCY,3017380001
640 PARK AVENUE,MARCY,3017380001
642 PARK AVENUE,MARCY,3017380001
644 PARK AVENUE,MARCY,3017380001
622 PARK AVENUE,MARCY,3017380001
624 PARK AVENUE,MARCY,3017380001
626 PARK AVENUE,MARCY,3017380001
602 PARK AVENUE,MARCY,3017380001
606 PARK AVENUE,MARCY,3017380001
584 PARK AVENUE,MARCY,3017380001
586 PARK AVENUE,MARCY,3017380001
588 PARK AVENUE,MARCY,3017380001
562 PARK AVENUE,MARCY,3017380001
564 PARK AVENUE,MARCY,3017380001
566 PARK AVENUE,MARCY,3017380001
