bin,ElcPrd_MWh
1076754,68.34199994
1027137,121.860242
1012299,137.1626539
1078658,73.9175088
1030261,61.61968314
1058652,128.6683808
1082187,182.5948481
1004565,118.1489022
1017224,184.727986
1064343,128.4505599
1030988,69.81261418
1009713,308.6942059
1060067,109.9091749
1003051,97.68181545
1083709,48.21065633
1074329,126.2083796
1082036,560.9898478
1047659,40.16428461
1012337,144.41455
1062472,133.7736824
1032080,128.1515822
1084111,139.1442539
1024992,63.01154484
1016089,54.5115858
1084876,137.4157129
1059061,104.2146877
1013096,303.3650522
1013089,100.3916535
1000803,41.70316059
1058396,81.81806422
1053892,164.6028722
1012858,37.33658387
1014730,142.9231417
1055905,143.7657327
1044904,95.02430948
1001069,3.203695438
1082780,87.55630703
1055495,71.35859215
1075696,7.782162951
1012296,120.2786896
1084417,57.68434811
1016881,70.70114482
1047125,98.62817242
1050636,113.2077925
1051480,63.68416099
1064334,92.04452281
1081108,114.5496315
1051675,137.5839608
1018045,90.07327371
1081218,100.9189585
1072190,92.10241951
1085404,59.74306629
1081341,88.78314789
1083378,253.7328084
1082667,218.0549964
1080525,230.5551991
1076327,28.54463409
1034827,20.20515793
1082391,69.72956212
1064741,95.90276994
1004617,218.3182938
1064380,176.8527848
1019923,113.8734741
1053712,101.4138356
1024850,16.19322023
1064029,84.24026514
1050350,181.2252866
1035319,56.7737968
1042058,62.85958414
1010380,149.0159481
1064386,98.76777581
1063341,107.5704947
1031139,107.8839791
1064066,82.12545113
1059609,306.1898137
1024918,24.88106586
1064438,94.34581578
1018473,273.0482601
1063335,188.1279992
1076783,181.8991454
1047101,86.0946814
1064489,156.4823407
1044011,39.68061688
1081243,122.0429891
1063463,128.1897037
1034202,64.4352932
1066659,89.2426521
1013544,34.23649446
1084780,660.2649127
1059667,98.74002622
1017122,194.9870475
1082866,121.8736926
1017084,55.20433201
1012294,83.95416875
1062699,93.72053451
1083684,72.85872346
1045264,94.58688657
1063361,95.96193071
1012249,6339.02291
1033291,83.48973013
1032439,117.3366833
1084184,99.99329299
1060087,94.87181533
1064919,128.7154909
1012295,91.50785603
1061738,85.54713697
1043252,97.01396837
1025009,96.57565223
1025011,35.6544667
1044377,130.0385616
1076194,55.38381759
1015199,198.5053645
1035335,71.25234679
1079467,59.06796219
1064817,151.9307236
1079921,36.35436889
1059964,111.1548657
1063315,65.70426785
1055658,111.1251211
1079053,164.9660966
1063448,99.6656695
1064385,96.73071025
1024833,0
1077932,96.67165544
1060063,96.21164056
1000021,109.6495179
1081671,582.0377888
1018162,114.7340706
1086200,202.5690164
1038594,7.179853704
1019523,72.03779603
1036144,151.4265008
1022610,10.80712309
1059883,92.87820687
1083596,162.5814256
1078651,121.1778563
1063326,144.8247183
1085972,70.26641725
1063450,149.0158144
1085492,142.5146071
1032623,52.44346142
1033611,83.222718510000007
1090337,166.8525047
1062868,206.4826458
1051665,116.5026146
1035383,73.76546571
1084803,119.9147724
1078979,38.53856265
1034201,0
1027365,23.51538656
1061772,115.0613158
1086089,87.31058281
1087650,101.5886859
1019864,140.7068943
1003205,519.0481825
1084328,42.30316228
1050385,57.59128578
1026646,472.1487734
1063322,117.3733253
1064463,81.29263377
1015426,137.2907053
1057333,123.4130293
1064459,95.658189
1090150,12.88099574
1090548,865.094282
1004325,443.9171004
1036146,2.087849503
1075642,9.878925616
1055957,198.2024023
1020405,114.3898321
1082154,5.827351037
1004065,249.3656422
1052286,111.8892483
1031645,127.6364937
1008467,120.4903055
1087756,22.80196356
1060431,67.62948358
1037556,11.79614192
1016951,233.2409017
1002357,162.4141157
1063517,113.2540457
1089094,97.2327795
1014385,102.3023343
1071989,44.6212323
1037599,31.40137362
1086498,179.7791208
1005283,419.8326077
1081034,64.27721596
1088406,86.9569606
1080184,437.8023062
1081127,0
1063380,81.43058851
1062792,284.6917163
1082091,120.8148344
1038907,22.5000388
1088129,84.98897064
1087190,7.898843643
1063400,65.31764082
1007119,116.2472134
1041361,82.87426251
1088453,168.7559462
1088093,23.37299052
1082469,146.4888248
1087848,55.19326063
1068261,41.2602369
1063251,160.1902757
1012258,395.9170571
1081440,103.6489348
1083208,86.93802118
1000816,33.5134376
1079215,223.1935967
1025400,41.72486253
1028838,62.24904639
1030351,364.7749969
1027159,119.1587197
1082810,111.5422127
1087609,531.8911616
1026426,104.0025674
1066793,42.73147916
1088816,77.31634067
1088319,281.0853154
1088075,210.5847211
1069579,844.1537181
1087599,171.1380793
1082862,124.1595647
1089910,116.9750877
1087768,108.7415382
1088184,176.1682115
1065475,48.35624191
1088825,163.3341388
1088437,124.3423411
1086440,511.1113731
1087951,22.0455336
1001007,18.07877349
1086189,80.43713861
1040162,45.87384241
1027184,824.1757009
1050634,98.42907579
1089902,71.65738736
1083950,152.3615216
1086084,143.3391799
1034227,85.71100462
1083985,134.5470953
1087823,238.6327084
1060526,193.8560702
1008904,126.9807015
1071159,72.07639284
1083941,122.6696373
1045282,66.00982815
1088126,55.97906964
1002850,89.09105725
1030315,20.02833376
1060519,146.5585423
1024825,53.61488159
1035328,15.87732158
1035385,189.7933563
1087522,183.473611
1089407,245.0310406
1088088,169.8761158
1087484,35.48310078
1018041,38.93489105
1034346,54.39505249
1000793,2.303939078
1054888,156.9481418
1085929,57.65709265
1089035,131.95003
1088705,57.35004272
1089263,258.945646
1062991,114.7978746
1022612,0
1042799,54.98692219
1088982,42.63626087
1084603,51.69358563
1087720,86.86170634
1079308,216.4929508
1083202,128.5610381
1008716,331.4295012
1079204,100.4135471
1076626,114.0448474
1028834,838.4573798
1087078,72.96418475
1088263,66.52947124
1087882,0
1079388,136.5396149
1035348,21.62164451
1043871,186.1761853
1002734,338.1893889
1086186,162.2408567
1002836,93.81492762
1087151,89.24504783
1090733,14.67248181
1012397,31.31642354
1041959,51.26526758
1024849,2.089034299
1043366,53.89681688
1034212,44.81880847
1020634,182.1223971
1033386,37.69485827
1086525,150.8501785
1033104,84.8743906
1081498,133.1344305
1029665,65.03952059
1076841,54.73448469
1081499,113.7781592
1087539,12.85692531
1002736,42.70339219
1076128,169.8486773
1088793,103.5516672
1082053,203.258507
1083215,96.18201809
1054513,172.9996005
1089904,62.44370946
1077846,98.11041923
1090368,0
1087747,21.87835547
1090052,0
1011760,107.5736012
1039489,16.17071558
1089381,71.72892713
1088565,0
1089538,68.1603094
1089264,63.43333727
1015916,33.59942696
1085950,73.4464312
1024711,61.06302815
1047968,99.98564186
1087284,559.40113469999994
1087559,125.2042796
1043862,40.03877643
1015272,39.20949722
1087152,27.5700228
1023160,6.007126942
1019951,195.2208799
1087839,79.88319839
1083511,25.7290636
1086215,171.1029268
1087247,75.42685211
1083247,192.7804984
1087101,4.954787485
1067116,229.8306287
1000005,510.9974337
1077503,145.639041
1039660,68.94547416
1076331,106.2523632
1033197,382.9261793
1079377,186.232564
1085867,142.1041015
